datasetName,folderName,Image,Age,Gender,Race
AffectNet - Test,anger,image0001600,25,Man,middle eastern
AffectNet - Test,anger,image0001615,30,Man,black
AffectNet - Test,anger,image0001623,28,Man,black
AffectNet - Test,anger,image0001671,36,Man,white
AffectNet - Test,anger,image0001688,45,Man,black
AffectNet - Test,anger,image0001741,42,Man,white
AffectNet - Test,anger,image0001765,28,Man,asian
AffectNet - Test,anger,image0001773,41,Man,latino hispanic
AffectNet - Test,anger,image0001778,33,Man,middle eastern
AffectNet - Test,anger,image0001794,25,Man,black
AffectNet - Test,anger,image0001833,30,Man,white
AffectNet - Test,anger,image0001849,33,Man,latino hispanic
AffectNet - Test,anger,image0001857,27,Man,black
AffectNet - Test,anger,image0001861,33,Man,indian
AffectNet - Test,anger,image0001892,53,Man,black
AffectNet - Test,anger,image0001916,26,Man,latino hispanic
AffectNet - Test,anger,image0001933,32,Man,middle eastern
AffectNet - Test,anger,image0001934,28,Man,middle eastern
AffectNet - Test,anger,image0001949,37,Man,white
AffectNet - Test,anger,image0001956,37,Woman,white
AffectNet - Test,anger,image0001974,24,Man,asian
AffectNet - Test,anger,image0001990,50,Man,white
AffectNet - Test,anger,image0002009,45,Man,white
AffectNet - Test,anger,image0002024,44,Man,white
AffectNet - Test,anger,image0002046,37,Woman,white
AffectNet - Test,anger,image0002048,30,Woman,black
AffectNet - Test,anger,image0002049,29,Woman,white
AffectNet - Test,anger,image0002080,34,Man,white
AffectNet - Test,anger,image0002102,49,Man,white
AffectNet - Test,anger,image0002105,32,Man,white
AffectNet - Test,anger,image0002106,29,Man,asian
AffectNet - Test,anger,image0002140,40,Man,white
AffectNet - Test,anger,image0002143,28,Man,white
AffectNet - Test,anger,image0002156,48,Man,middle eastern
AffectNet - Test,anger,image0002205,24,Man,white
AffectNet - Test,anger,image0002220,48,Man,middle eastern
AffectNet - Test,anger,image0002230,29,Man,indian
AffectNet - Test,anger,image0002259,26,Woman,latino hispanic
AffectNet - Test,anger,image0002262,31,Man,middle eastern
AffectNet - Test,anger,image0002272,41,Man,asian
AffectNet - Test,anger,image0002281,48,Man,white
AffectNet - Test,anger,image0002301,38,Man,white
AffectNet - Test,anger,image0002340,39,Woman,latino hispanic
AffectNet - Test,anger,image0002350,27,Man,asian
AffectNet - Test,anger,image0002366,25,Woman,white
AffectNet - Test,anger,image0002369,27,Man,white
AffectNet - Test,anger,image0002373,32,Man,black
AffectNet - Test,anger,image0002378,52,Man,middle eastern
AffectNet - Test,anger,image0002388,34,Man,white
AffectNet - Test,anger,image0002420,45,Man,asian
AffectNet - Test,anger,image0002429,40,Man,white
AffectNet - Test,anger,image0002461,38,Man,white
AffectNet - Test,anger,image0002467,29,Man,white
AffectNet - Test,anger,image0002475,64,Man,black
AffectNet - Test,anger,image0002506,33,Man,white
AffectNet - Test,anger,image0002507,22,Man,white
AffectNet - Test,anger,image0002520,36,Man,white
AffectNet - Test,anger,image0002524,35,Woman,latino hispanic
AffectNet - Test,anger,image0002532,31,Woman,black
AffectNet - Test,anger,image0002539,39,Woman,white
AffectNet - Test,anger,image0002578,26,Man,white
AffectNet - Test,anger,image0002608,30,Man,white
AffectNet - Test,anger,image0002635,30,Woman,white
AffectNet - Test,anger,image0002636,33,Man,asian
AffectNet - Test,anger,image0002639,23,Man,white
AffectNet - Test,anger,image0002667,35,Man,latino hispanic
AffectNet - Test,anger,image0002685,39,Man,middle eastern
AffectNet - Test,anger,image0002705,32,Woman,black
AffectNet - Test,anger,image0002706,29,Man,middle eastern
AffectNet - Test,anger,image0002725,26,Woman,white
AffectNet - Test,anger,image0002740,32,Woman,white
AffectNet - Test,anger,image0002797,32,Woman,white
AffectNet - Test,anger,image0002800,49,Man,middle eastern
AffectNet - Test,anger,image0002830,44,Man,white
AffectNet - Test,anger,image0002840,25,Man,white
AffectNet - Test,anger,image0002894,46,Man,black
AffectNet - Test,anger,image0002928,45,Man,white
AffectNet - Test,anger,image0002955,43,Man,latino hispanic
AffectNet - Test,anger,image0002976,28,Man,latino hispanic
AffectNet - Test,anger,image0002986,49,Man,middle eastern
AffectNet - Test,anger,image0002989,48,Man,white
AffectNet - Test,anger,image0003003,58,Man,white
AffectNet - Test,anger,image0003013,42,Man,middle eastern
AffectNet - Test,anger,image0003016,20,Man,middle eastern
AffectNet - Test,anger,image0003019,25,Man,white
AffectNet - Test,anger,image0003046,34,Woman,white
AffectNet - Test,anger,image0003049,22,Man,white
AffectNet - Test,anger,image0003053,32,Woman,white
AffectNet - Test,anger,image0003060,35,Woman,white
AffectNet - Test,anger,image0003108,33,Man,middle eastern
AffectNet - Test,anger,image0003110,34,Man,white
AffectNet - Test,anger,image0003112,41,Man,white
AffectNet - Test,anger,image0003116,30,Man,latino hispanic
AffectNet - Test,anger,image0003133,42,Man,white
AffectNet - Test,anger,image0003161,38,Man,white
AffectNet - Test,anger,image0003202,49,Man,white
AffectNet - Test,anger,image0003212,28,Man,asian
AffectNet - Test,anger,image0003237,26,Man,black
AffectNet - Test,anger,image0003295,46,Man,latino hispanic
AffectNet - Test,anger,image0003305,40,Man,latino hispanic
AffectNet - Test,anger,image0003308,25,Man,black
AffectNet - Test,anger,image0003315,29,Man,latino hispanic
AffectNet - Test,anger,image0003325,70,Man,asian
AffectNet - Test,anger,image0003330,32,Man,white
AffectNet - Test,anger,image0003351,29,Man,indian
AffectNet - Test,anger,image0003353,33,Man,latino hispanic
AffectNet - Test,anger,image0003387,30,Man,white
AffectNet - Test,anger,image0003393,26,Man,asian
AffectNet - Test,anger,image0003411,25,Man,black
AffectNet - Test,anger,image0003415,43,Man,white
AffectNet - Test,anger,image0003422,27,Man,asian
AffectNet - Test,anger,image0003428,30,Woman,latino hispanic
AffectNet - Test,anger,image0003455,28,Man,white
AffectNet - Test,anger,image0003456,38,Man,white
AffectNet - Test,anger,image0003487,21,Woman,white
AffectNet - Test,anger,image0003501,28,Man,middle eastern
AffectNet - Test,anger,image0003507,31,Man,latino hispanic
AffectNet - Test,anger,image0003519,32,Man,white
AffectNet - Test,anger,image0003556,46,Man,white
AffectNet - Test,anger,image0003573,29,Woman,white
AffectNet - Test,anger,image0003609,30,Man,white
AffectNet - Test,anger,image0003666,41,Man,white
AffectNet - Test,anger,image0003669,46,Man,black
AffectNet - Test,anger,image0003670,26,Man,asian
AffectNet - Test,anger,image0003734,41,Man,white
AffectNet - Test,anger,image0003757,37,Man,middle eastern
AffectNet - Test,anger,image0003762,24,Man,middle eastern
AffectNet - Test,anger,image0003769,23,Man,black
AffectNet - Test,anger,image0003791,38,Man,white
AffectNet - Test,anger,image0003820,31,Woman,white
AffectNet - Test,anger,image0003823,30,Man,white
AffectNet - Test,anger,image0003826,22,Man,white
AffectNet - Test,anger,image0003836,23,Man,black
AffectNet - Test,anger,image0003857,37,Woman,asian
AffectNet - Test,anger,image0003876,39,Man,black
AffectNet - Test,anger,image0003916,50,Man,white
AffectNet - Test,anger,image0003920,25,Man,white
AffectNet - Test,anger,image0003961,37,Woman,latino hispanic
AffectNet - Test,anger,image0003964,24,Man,latino hispanic
AffectNet - Test,anger,image0003970,35,Man,white
AffectNet - Test,anger,image0003971,28,Man,white
AffectNet - Test,anger,image0004004,28,Man,white
AffectNet - Test,anger,image0004010,30,Woman,white
AffectNet - Test,anger,image0004026,27,Man,latino hispanic
AffectNet - Test,anger,image0004049,32,Man,white
AffectNet - Test,anger,image0004051,24,Man,white
AffectNet - Test,anger,image0004065,30,Woman,white
AffectNet - Test,anger,image0004071,27,Woman,middle eastern
AffectNet - Test,anger,image0004099,24,Man,latino hispanic
AffectNet - Test,anger,image0004164,48,Man,latino hispanic
AffectNet - Test,anger,image0004213,30,Man,white
AffectNet - Test,anger,image0004247,28,Man,white
AffectNet - Test,anger,image0004298,23,Man,white
AffectNet - Test,anger,image0004330,22,Man,white
AffectNet - Test,anger,image0004341,39,Man,white
AffectNet - Test,anger,image0004342,23,Woman,white
AffectNet - Test,anger,image0004345,39,Man,white
AffectNet - Test,anger,image0004357,39,Man,white
AffectNet - Test,anger,image0004381,31,Man,middle eastern
AffectNet - Test,anger,image0004383,32,Man,latino hispanic
AffectNet - Test,anger,image0004411,33,Woman,white
AffectNet - Test,anger,image0004425,45,Man,latino hispanic
AffectNet - Test,anger,image0004445,33,Man,asian
AffectNet - Test,anger,image0004456,32,Woman,latino hispanic
AffectNet - Test,anger,image0004459,30,Woman,white
AffectNet - Test,anger,image0004504,28,Man,asian
AffectNet - Test,anger,image0004550,53,Man,black
AffectNet - Test,anger,image0004588,46,Man,white
AffectNet - Test,anger,image0004609,30,Man,black
AffectNet - Test,anger,image0004615,25,Man,black
AffectNet - Test,anger,image0004642,38,Man,white
AffectNet - Test,anger,image0004676,32,Man,middle eastern
AffectNet - Test,anger,image0004683,45,Man,black
AffectNet - Test,anger,image0004694,30,Woman,latino hispanic
AffectNet - Test,anger,image0004695,34,Man,white
AffectNet - Test,anger,image0004698,37,Man,white
AffectNet - Test,anger,image0004792,39,Man,white
AffectNet - Test,anger,image0004816,41,Man,middle eastern
AffectNet - Test,anger,image0004819,36,Man,asian
AffectNet - Test,anger,image0004832,27,Man,latino hispanic
AffectNet - Test,anger,image0004835,30,Man,white
AffectNet - Test,anger,image0004845,40,Man,asian
AffectNet - Test,anger,image0004848,29,Man,asian
AffectNet - Test,anger,image0004854,23,Man,asian
AffectNet - Test,anger,image0004855,31,Man,asian
AffectNet - Test,anger,image0004860,31,Man,asian
AffectNet - Test,anger,image0004864,24,Man,latino hispanic
AffectNet - Test,anger,image0004866,38,Man,middle eastern
AffectNet - Test,anger,image0004885,39,Man,white
AffectNet - Test,anger,image0004921,44,Woman,asian
AffectNet - Test,anger,image0004946,30,Woman,white
AffectNet - Test,anger,image0004947,35,Man,white
AffectNet - Test,anger,image0004949,32,Man,white
AffectNet - Test,anger,image0004952,44,Man,white
AffectNet - Test,anger,image0004956,53,Man,white
AffectNet - Test,anger,image0004970,22,Man,white
AffectNet - Test,anger,image0005041,42,Man,white
AffectNet - Test,anger,image0005070,24,Woman,asian
AffectNet - Test,anger,image0005102,40,Man,white
AffectNet - Test,anger,image0005108,36,Woman,asian
AffectNet - Test,anger,image0005124,33,Man,black
AffectNet - Test,anger,image0005156,26,Man,middle eastern
AffectNet - Test,anger,image0005190,52,Man,middle eastern
AffectNet - Test,anger,image0005193,31,Man,white
AffectNet - Test,anger,image0005221,47,Man,middle eastern
AffectNet - Test,anger,image0005269,31,Man,asian
AffectNet - Test,anger,image0005276,24,Woman,white
AffectNet - Test,anger,image0005298,36,Man,white
AffectNet - Test,anger,image0005303,23,Man,black
AffectNet - Test,anger,image0005304,31,Woman,white
AffectNet - Test,anger,image0005306,35,Woman,white
AffectNet - Test,anger,image0005315,24,Man,latino hispanic
AffectNet - Test,anger,image0005319,28,Man,white
AffectNet - Test,anger,image0005334,31,Man,black
AffectNet - Test,anger,image0005347,31,Woman,white
AffectNet - Test,anger,image0005366,29,Woman,black
AffectNet - Test,anger,image0005380,25,Man,black
AffectNet - Test,anger,image0005385,28,Man,black
AffectNet - Test,anger,image0005396,27,Woman,white
AffectNet - Test,anger,image0005516,37,Woman,white
AffectNet - Test,anger,image0005528,40,Man,white
AffectNet - Test,anger,image0005558,33,Man,asian
AffectNet - Test,anger,image0005565,49,Man,white
AffectNet - Test,anger,image0005594,24,Man,asian
AffectNet - Test,anger,image0005597,23,Man,white
AffectNet - Test,anger,image0005603,39,Man,latino hispanic
AffectNet - Test,anger,image0005660,43,Man,white
AffectNet - Test,anger,image0005680,28,Woman,white
AffectNet - Test,anger,image0005713,29,Man,middle eastern
AffectNet - Test,anger,image0005726,24,Woman,white
AffectNet - Test,anger,image0005727,39,Man,asian
AffectNet - Test,anger,image0005763,32,Woman,white
AffectNet - Test,anger,image0005773,28,Man,asian
AffectNet - Test,anger,image0005785,55,Man,white
AffectNet - Test,anger,image0005819,28,Man,middle eastern
AffectNet - Test,anger,image0005865,34,Man,white
AffectNet - Test,anger,image0005903,42,Man,white
AffectNet - Test,anger,image0005935,49,Man,latino hispanic
AffectNet - Test,anger,image0005962,32,Man,white
AffectNet - Test,anger,image0005981,29,Man,latino hispanic
AffectNet - Test,anger,image0005983,33,Woman,latino hispanic
AffectNet - Test,anger,image0006020,24,Man,white
AffectNet - Test,anger,image0006084,27,Man,middle eastern
AffectNet - Test,anger,image0006147,32,Woman,white
AffectNet - Test,anger,image0006167,33,Man,middle eastern
AffectNet - Test,anger,image0006195,37,Man,latino hispanic
AffectNet - Test,anger,image0006199,39,Man,white
AffectNet - Test,anger,image0006211,32,Man,white
AffectNet - Test,anger,image0006224,26,Woman,latino hispanic
AffectNet - Test,anger,image0006232,21,Man,latino hispanic
AffectNet - Test,anger,image0006236,33,Man,latino hispanic
AffectNet - Test,anger,image0006246,45,Man,white
AffectNet - Test,anger,image0006258,24,Man,white
AffectNet - Test,anger,image0006260,51,Woman,white
AffectNet - Test,anger,image0006275,31,Man,white
AffectNet - Test,anger,image0006281,31,Man,middle eastern
AffectNet - Test,anger,image0006294,26,Man,black
AffectNet - Test,anger,image0006306,29,Man,middle eastern
AffectNet - Test,anger,image0006322,26,Man,white
AffectNet - Test,anger,image0006335,22,Woman,latino hispanic
AffectNet - Test,anger,image0006339,29,Man,white
AffectNet - Test,anger,image0006360,30,Man,white
AffectNet - Test,anger,image0006364,35,Man,white
AffectNet - Test,anger,image0006379,25,Man,indian
AffectNet - Test,anger,image0006406,53,Man,white
AffectNet - Test,anger,image0006477,27,Man,black
AffectNet - Test,anger,image0006484,32,Man,black
AffectNet - Test,anger,image0006510,48,Man,white
AffectNet - Test,anger,image0006526,28,Man,white
AffectNet - Test,anger,image0006540,49,Man,white
AffectNet - Test,anger,image0006544,44,Man,latino hispanic
AffectNet - Test,anger,image0006566,29,Man,white
AffectNet - Test,anger,image0006582,37,Man,white
AffectNet - Test,anger,image0006587,42,Man,black
AffectNet - Test,anger,image0006597,31,Man,middle eastern
AffectNet - Test,anger,image0006601,32,Woman,latino hispanic
AffectNet - Test,anger,image0006608,37,Man,black
AffectNet - Test,anger,image0006610,44,Man,white
AffectNet - Test,anger,image0006661,43,Man,white
AffectNet - Test,anger,image0006665,23,Man,black
AffectNet - Test,anger,image0006689,25,Man,black
AffectNet - Test,anger,image0006699,33,Man,white
AffectNet - Test,anger,image0006706,23,Man,white
AffectNet - Test,anger,image0006712,21,Man,middle eastern
AffectNet - Test,anger,image0006756,26,Man,indian
AffectNet - Test,anger,image0006763,22,Woman,white
AffectNet - Test,anger,image0006771,53,Man,white
AffectNet - Test,anger,image0006816,26,Man,white
AffectNet - Test,anger,image0006821,23,Man,white
AffectNet - Test,anger,image0006834,46,Man,asian
AffectNet - Test,anger,image0006839,35,Man,white
AffectNet - Test,anger,image0006874,43,Man,white
AffectNet - Test,anger,image0006880,33,Man,latino hispanic
AffectNet - Test,anger,image0006895,30,Woman,latino hispanic
AffectNet - Test,anger,image0006896,29,Man,latino hispanic
AffectNet - Test,anger,image0006900,22,Man,latino hispanic
AffectNet - Test,anger,image0006927,33,Man,white
AffectNet - Test,anger,image0006960,31,Man,white
AffectNet - Test,anger,image0006971,28,Man,latino hispanic
AffectNet - Test,anger,image0006976,50,Man,latino hispanic
AffectNet - Test,anger,image0006986,22,Man,asian
AffectNet - Test,anger,image0007015,44,Man,white
AffectNet - Test,anger,image0007018,32,Woman,white
AffectNet - Test,anger,image0007029,40,Man,white
AffectNet - Test,anger,image0007124,27,Man,white
AffectNet - Test,anger,image0007125,27,Man,middle eastern
AffectNet - Test,anger,image0007223,39,Woman,white
AffectNet - Test,anger,image0007271,39,Man,white
AffectNet - Test,anger,image0007281,30,Man,white
AffectNet - Test,anger,image0007286,22,Man,white
AffectNet - Test,anger,image0007290,34,Man,white
AffectNet - Test,anger,image0007308,29,Man,black
AffectNet - Test,anger,image0007312,32,Woman,white
AffectNet - Test,anger,image0007332,30,Woman,indian
AffectNet - Test,anger,image0007354,24,Man,middle eastern
AffectNet - Test,anger,image0007359,43,Man,white
AffectNet - Test,anger,image0007366,27,Man,latino hispanic
AffectNet - Test,anger,image0007389,30,Woman,latino hispanic
AffectNet - Test,anger,image0007420,32,Man,white
AffectNet - Test,anger,image0007445,48,Man,white
AffectNet - Test,anger,image0007451,26,Man,white
AffectNet - Test,anger,image0007453,38,Man,white
AffectNet - Test,anger,image0007531,33,Man,middle eastern
AffectNet - Test,anger,image0007566,32,Man,white
AffectNet - Test,anger,image0007579,35,Woman,white
AffectNet - Test,anger,image0007604,20,Man,asian
AffectNet - Test,anger,image0007626,32,Man,latino hispanic
AffectNet - Test,anger,image0007630,28,Man,white
AffectNet - Test,anger,image0007655,41,Man,asian
AffectNet - Test,anger,image0007753,42,Man,white
AffectNet - Test,anger,image0007755,25,Man,white
AffectNet - Test,anger,image0007783,24,Man,latino hispanic
AffectNet - Test,anger,image0007794,35,Man,white
AffectNet - Test,anger,image0007803,27,Woman,white
AffectNet - Test,anger,image0007805,33,Man,white
AffectNet - Test,anger,image0007807,37,Man,white
AffectNet - Test,anger,image0007812,31,Man,white
AffectNet - Test,anger,image0007904,28,Woman,white
AffectNet - Test,anger,image0007945,31,Woman,latino hispanic
AffectNet - Test,anger,image0007954,31,Man,white
AffectNet - Test,anger,image0007958,34,Man,white
AffectNet - Test,anger,image0007988,26,Woman,white
AffectNet - Test,anger,image0007993,30,Man,middle eastern
AffectNet - Test,anger,image0008010,32,Man,white
AffectNet - Test,anger,image0008030,44,Man,latino hispanic
AffectNet - Test,anger,image0008044,33,Man,black
AffectNet - Test,anger,image0008045,48,Man,latino hispanic
AffectNet - Test,anger,image0008055,28,Woman,white
AffectNet - Test,anger,image0008086,28,Man,black
AffectNet - Test,anger,image0008096,35,Man,white
AffectNet - Test,anger,image0008102,24,Woman,latino hispanic
AffectNet - Test,anger,image0008136,49,Man,latino hispanic
AffectNet - Test,anger,image0008156,43,Man,white
AffectNet - Test,anger,image0008210,28,Woman,white
AffectNet - Test,anger,image0008218,31,Man,latino hispanic
AffectNet - Test,anger,image0008226,38,Man,white
AffectNet - Test,anger,image0008228,46,Man,white
AffectNet - Test,anger,image0008244,39,Man,white
AffectNet - Test,anger,image0008255,28,Woman,asian
AffectNet - Test,anger,image0008289,24,Man,black
AffectNet - Test,anger,image0008309,34,Man,indian
AffectNet - Test,anger,image0008345,20,Man,white
AffectNet - Test,anger,image0008355,34,Man,middle eastern
AffectNet - Test,anger,image0008442,39,Woman,asian
AffectNet - Test,anger,image0008461,28,Man,white
AffectNet - Test,anger,image0008479,34,Man,black
AffectNet - Test,anger,image0008480,24,Man,latino hispanic
AffectNet - Test,anger,image0008528,23,Man,latino hispanic
AffectNet - Test,anger,image0008538,23,Man,asian
AffectNet - Test,anger,image0008544,23,Man,latino hispanic
AffectNet - Test,anger,image0008550,28,Man,latino hispanic
AffectNet - Test,anger,image0008564,23,Man,white
AffectNet - Test,anger,image0008605,40,Man,white
AffectNet - Test,anger,image0008610,30,Woman,latino hispanic
AffectNet - Test,anger,image0008625,45,Man,asian
AffectNet - Test,anger,image0008631,37,Man,white
AffectNet - Test,anger,image0008645,30,Woman,latino hispanic
AffectNet - Test,anger,image0008670,27,Man,middle eastern
AffectNet - Test,anger,image0008685,25,Man,black
AffectNet - Test,anger,image0008695,45,Man,asian
AffectNet - Test,anger,image0008718,35,Man,latino hispanic
AffectNet - Test,anger,image0008770,49,Man,middle eastern
AffectNet - Test,anger,image0008771,25,Man,black
AffectNet - Test,anger,image0008810,40,Man,white
AffectNet - Test,anger,image0008820,39,Man,white
AffectNet - Test,anger,image0008854,43,Man,white
AffectNet - Test,anger,image0008857,26,Man,asian
AffectNet - Test,anger,image0008871,41,Man,middle eastern
AffectNet - Test,anger,image0008877,50,Man,asian
AffectNet - Test,anger,image0008894,29,Man,indian
AffectNet - Test,anger,image0008900,29,Man,latino hispanic
AffectNet - Test,anger,image0008921,28,Man,black
AffectNet - Test,anger,image0008947,33,Man,white
AffectNet - Test,anger,image0008958,38,Man,white
AffectNet - Test,anger,image0008967,41,Man,white
AffectNet - Test,anger,image0008968,22,Man,middle eastern
AffectNet - Test,anger,image0008970,30,Woman,white
AffectNet - Test,anger,image0008971,36,Man,black
AffectNet - Test,anger,image0009017,38,Man,middle eastern
AffectNet - Test,anger,image0009044,40,Man,white
AffectNet - Test,anger,image0009062,32,Man,white
AffectNet - Test,anger,image0009066,32,Man,white
AffectNet - Test,anger,image0009076,33,Man,asian
AffectNet - Test,anger,image0009099,27,Man,white
AffectNet - Test,anger,image0009116,47,Man,middle eastern
AffectNet - Test,anger,image0009121,29,Woman,white
AffectNet - Test,anger,image0009130,27,Man,asian
AffectNet - Test,anger,image0009140,32,Woman,white
AffectNet - Test,anger,image0009157,33,Man,middle eastern
AffectNet - Test,anger,image0009171,38,Man,white
AffectNet - Test,anger,image0009177,37,Man,white
AffectNet - Test,anger,image0009209,31,Man,latino hispanic
AffectNet - Test,anger,image0009245,29,Man,middle eastern
AffectNet - Test,anger,image0009249,23,Man,asian
AffectNet - Test,anger,image0009259,25,Woman,white
AffectNet - Test,anger,image0009264,23,Man,white
AffectNet - Test,anger,image0009270,28,Woman,white
AffectNet - Test,anger,image0009273,49,Man,white
AffectNet - Test,anger,image0009286,27,Man,latino hispanic
AffectNet - Test,anger,image0009322,24,Man,indian
AffectNet - Test,anger,image0009337,38,Man,middle eastern
AffectNet - Test,anger,image0009347,28,Woman,white
AffectNet - Test,anger,image0009370,46,Man,white
AffectNet - Test,anger,image0009379,44,Man,middle eastern
AffectNet - Test,anger,image0009395,41,Man,indian
AffectNet - Test,anger,image0009404,34,Man,white
AffectNet - Test,anger,image0009421,36,Woman,white
AffectNet - Test,anger,image0009439,38,Man,white
AffectNet - Test,anger,image0009474,33,Man,white
AffectNet - Test,anger,image0009475,23,Man,latino hispanic
AffectNet - Test,anger,image0009492,22,Man,black
AffectNet - Test,anger,image0009502,33,Man,white
AffectNet - Test,anger,image0009519,26,Woman,white
AffectNet - Test,anger,image0009534,34,Man,white
AffectNet - Test,anger,image0009551,36,Man,white
AffectNet - Test,anger,image0009555,55,Man,white
AffectNet - Test,anger,image0009562,30,Man,latino hispanic
AffectNet - Test,anger,image0009575,25,Man,middle eastern
AffectNet - Test,anger,image0009580,42,Man,white
AffectNet - Test,anger,image0009603,26,Man,white
AffectNet - Test,anger,image0009697,41,Woman,white
AffectNet - Test,anger,image0009775,36,Man,white
AffectNet - Test,anger,image0009826,33,Man,middle eastern
AffectNet - Test,anger,image0009873,32,Man,middle eastern
AffectNet - Test,anger,image0009907,38,Man,middle eastern
AffectNet - Test,anger,image0009909,31,Woman,white
AffectNet - Test,anger,image0009939,51,Man,white
AffectNet - Test,anger,image0009942,28,Man,middle eastern
AffectNet - Test,anger,image0009950,28,Man,latino hispanic
AffectNet - Test,anger,image0009997,30,Man,white
AffectNet - Test,anger,image0010000,26,Man,asian
AffectNet - Test,anger,image0010001,30,Man,white
AffectNet - Test,anger,image0010004,49,Man,white
AffectNet - Test,anger,image0010009,29,Man,black
AffectNet - Test,anger,image0010015,27,Woman,white
AffectNet - Test,anger,image0010050,31,Man,white
AffectNet - Test,anger,image0010092,23,Man,black
AffectNet - Test,anger,image0010110,40,Man,white
AffectNet - Test,anger,image0010113,30,Woman,white
AffectNet - Test,anger,image0010125,32,Man,indian
AffectNet - Test,anger,image0010130,32,Man,middle eastern
AffectNet - Test,anger,image0010135,23,Man,white
AffectNet - Test,anger,image0010142,32,Man,white
AffectNet - Test,anger,image0010162,31,Man,white
AffectNet - Test,anger,image0010169,31,Woman,white
AffectNet - Test,anger,image0010214,27,Woman,white
AffectNet - Test,anger,image0010232,48,Man,white
AffectNet - Test,anger,image0010245,23,Man,white
AffectNet - Test,anger,image0010268,27,Man,white
AffectNet - Test,anger,image0010279,43,Man,white
AffectNet - Test,anger,image0010290,28,Man,white
