,Title,Authors,Year,Cited By,Detected_Dataset,Detected_Topic,Abstract,DOI,Journal,URL,Mentions_Accuracy,Mentions_F1,Mentions_Precision,Mentions_Recall,Mentions_Auc,Mentions_Roc,Mentions_Sensitivity,Mentions_Specificity,Mentions_Confusion_matrix,Mentions_Loss_function,Mentions_Cross-entropy,Mentions_Mean_squared_error,Mentions_Overfitting,Mentions_Underfitting,Mentions_Cross-validation,Mentions_Training_time,Mentions_Inference_time,Mentions_Statistical_significance,Mentions_P-value,Mentions_T-test,Mentions_Anova,Mentions_Correlation,Mentions_Regression,Mentions_Baseline_comparison,Mentions_Mae,Mentions_Rmse,Mentions_Bias
11,A high-resolution spontaneous 3d dynamic facial expression database,"['X Zhang', 'L Yin', 'JF Cohn', 'S Canavan']",2013,920,Binghamton University 3D Facial Expression,"classification, classifier, deep learning, facial expression recognition",3D video database of spontaneous facial expressions in a diverse group of young adults.  Well-validated emotion inductions were used to elicit expressions  units and emotion detection”,No DOI,… gesture recognition  …,https://www.sciencedirect.com/science/article/pii/S0262885614001012,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,A multimodal database for affect recognition and implicit tagging,"['M Soleymani', 'J Lichtenauer', 'T Pun']",2011,1719,Affective Faces Database,"classification, classifier","our database in Section 3. Section 4 explains the experimental setup. The first experiment  paradigm, some statistics and results of classifications  to face videos from 32 participants. The",No DOI,… on affective computing,https://ieeexplore.ieee.org/document/5975141,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,A natural visible and infrared facial expression database for expression recognition and emotion inference,"['S Wang', 'Z Liu', 'S Lv', 'Y Lv', 'G Wu', 'P Peng']",2010,458,Affective Faces Database,facial expression recognition,"database for expression recognition and emotion inference, we conduct visible facial  expression recognition  There are, however, a few thermal face databases (listed in Table II) that",No DOI,IEEE Transactions …,https://ieeexplore.ieee.org/document/5523955,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,A new facial expression recognition based on curvelet transform and online sequential extreme learning machine initialized with spherical clustering,"['A Uçar', 'Y Demir', 'C Güzeliş']",2016,158,Extended Cohn-Kanade,machine learning,"So, the learning machine is called as OSELM-SC. It is  Expression database and the  Cohn-Kanade database. The  of California at irvine repository of the machine learning database",No DOI,Neural Computing and Applications,https://link.springer.com/article/10.1007/s00521-014-1569-1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,A new method for facial expression recognition based on sparse representation plus LBP,"['MW Huang', 'Z Wang', 'ZL Ying']",2010,101,Japanese Female Facial Expression,classification,"algorithm for face recognition, notable for  facial expression recognition based on sparse  representation of LBP features. Extensive experiments on Japanese Female Facial Expression (",No DOI,2010 3rd International …,https://ieeexplore.ieee.org/document/5647898,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,A performance comparison of eight commercially available automatic classifiers for facial affect recognition,"['D Dupré', 'EG Krumhuber', 'D Küster', 'GJ McKeown']",2020,165,"Acted Facial Expressions In The Wild, Affective Faces Database, Static Facial Expression in the Wild","classification, classifier","classifiers, in particular when facial expressions are spontaneous rather than posed. In the  present work, we tested eight out-of-the-box automatic classifiers,  or acted facial behavior.",No DOI,Plos one,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0231968,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,A review on automatic facial expression recognition systems assisted by multimodal sensor data,"['N Samadiani', 'G Huang', 'B Cai', 'W Luo', 'CH Chi', 'Y Xiang']",2019,206,"Binghamton University 3D Facial Expression, Facial Expression Recognition 2013, MMI Facial Expression","FER, facial expression recognition","facial expressions (eg, sadness and anger). An efficient facial expression system (FER) can   ; this method achieves the accuracies of 98.5% (CK+ dataset) and 81.18% (MMI dataset).",No DOI,Sensors,https://www.mdpi.com/1424-8220/19/8/1863,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,A survey of 2D face recognition techniques,"['M Chihaoui', 'A Elkefi', 'W Bellil', 'C Ben Amar']",2016,131,Toronto Face Database,classification,"Figure 6 summarizes the classification of face recognition approaches presented in this   Next, we presented face databases used by researchers in this field to test their approaches and",No DOI,Computers,https://www.mdpi.com/2073-431X/5/4/21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,A survey on facial emotion recognition techniques: A state-of-the-art literature review,"['FZ Canal', 'TR Müller', 'JC Matias', 'GG Scotton']",2022,222,Affective Faces Database,facial expression recognition,"approaches for emotion recognition from facial expressions,  area of emotion expression  recognition captured from facial  areas such as face recognition and emotion recognition color",No DOI,Information …,https://www.sciencedirect.com/science/article/pii/S0020025521010136,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,A survey on human face expression recognition techniques,"['IM Revina', 'WRS Emmanuel']",2021,350,Facial Expression Recognition 2013,facial expression recognition,"Generally, face expressions are  Face expressions are the key characteristics of non-verbal  communication. This paper describes the survey of Face Expression Recognition (FER)",No DOI,Journal of King Saud University-Computer …,https://www.sciencedirect.com/science/article/pii/S1319157818303379,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,A survey: facial micro-expression recognition,"['M Takalkar', 'M Xu', 'Q Wu', 'Z Chaczko']",2018,128,Facial Expression Recognition 2013,facial expression recognition,"Facial expression recognition plays a crucial role in a wide  only be defined using a broader  classification scale. This paper is  In: Automatic face and gesture recognition (FG), 2013 10th",No DOI,Multimedia Tools and Applications,https://link.springer.com/article/10.1007/s11042-017-5317-2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,"A systematic review on affective computing: Emotion models, databases, and recent advances","['Y Wang', 'W Song', 'W Tao', 'A Liotta', 'D Yang', 'X Li', 'S Gao']",2022,315,Affective Faces Database,"CNN, FER, classification, classifier, deep learning, machine learning, neural network","affective computing, we provide a systematical survey of important components: emotion  models, databases,  by five kinds of commonly used databases for affective computing. Next, we",No DOI,Information …,https://www.sciencedirect.com/science/article/pii/S1566253522000367,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,A-MobileNet: An approach of facial expression recognition,"['Y Nan', 'J Ju', 'Q Hua', 'H Zhang', 'B Wang']",2022,155,Facial Expression Recognition 2013,facial expression recognition,"Facial expression recognition (FER) is to separate the  to facial expression recognition tasks,  but the recognition results  a dense network for expression recognition. However, compared",No DOI,Alexandria Engineering Journal,https://www.sciencedirect.com/science/article/pii/S1110016821006682,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,Accurate periocular recognition under less constrained environment using semantics-assisted convolutional neural network,"['Z Zhao', 'A Kumar']",2016,136,Toronto Face Database,neural network,"v4 is the first publicly available long-range iris and face database acquired under NIR  illumination, which is released by the Center for Biometrics and Security Research (CBSR) from",No DOI,IEEE Transactions on Information Forensics …,http://ieeexplore.ieee.org/document/7775081,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,Acted facial expressions in the wild database,"['A Dhall', 'R Goecke', 'S Lucey', 'T Gedeon']",2011,140,"Acted Facial Expressions In The Wild, Static Facial Expression in the Wild","classification, facial expression recognition, machine learning, neural network","The Cohn-Kanade database [17] is widely used facial expression database. This database  formed a standard for facial expression recognition, it contains both static and dynamic data",No DOI,"… , Australia, Technical Report …",https://paperswithcode.com/dataset/acted-facial-expressions-in-the-wild-afew,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,Ad-corre: Adaptive correlation-based loss for facial expression recognition in the wild,"['AP Fard', 'MH Mahoor']",2022,113,"Affective Faces Database, Expression in-the-Wild","FER, classification, classifier, facial expression recognition","FER and then discuss the use of DML for general image classification tasks. Afterward, we  review the work used DML in FER expressional features from an input face image, as well as",No DOI,IEEE Access,https://ieeexplore.ieee.org/document/9727163,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,Adaptive deep metric learning for identity-aware facial expression recognition,"['X Liu', 'BVK Vijaya Kumar', 'J You']",2017,236,"CMU Multi-PIE, MMI Facial Expression",FER,"features which are not useful for FER. As shown in Fig. 1,  For FER, we desire that two  face images with the same  approaches in posed facial expression dataset (eg, CK+, MMI),",No DOI,Proceedings of the IEEE …,http://ieeexplore.ieee.org/document/8014813,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,Adaptive feature mapping for customizing deep learning based facial expression recognition model,"['BF Wu', 'CH Lin']",2018,106,"Extended Cohn-Kanade, Facial Expression Recognition 2013, Radboud Faces Database","deep learning, facial expression recognition, machine learning","progress in this artificial intelligence era. Many deep learning approaches have been applied  in  Compared to the competing deep learning architectures with the same training data, our",No DOI,IEEE access,https://ieeexplore.ieee.org/document/8291717,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,Addressing bias in machine learning algorithms: A pilot study on emotion recognition for intelligent systems,"['A Howard', 'C Zhang', 'E Horvitz']",2017,115,"Affective Faces Database, Radboud Faces Database",machine learning,"on 50% of the feature vectors classified as Fear or Surprise by the deep learning algorithm  and extracted from the Radboud Faces Database, the Dartmouth Database of Children’s",No DOI,2017 IEEE Workshop on …,https://ieeexplore.ieee.org/abstract/document/8025197,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,"Advances, challenges, and opportunities in automatic facial expression recognition","['B Martinez', 'MF Valstar']",2016,169,Facial Expression Recognition 2013,facial expression recognition,In this chapter we consider the problem of automatic facial expression analysis. Our take on  this is that the field has reached a point where it needs to move away from considering,No DOI,Advances in face detection and facial image …,https://link.springer.com/chapter/10.1007/978-3-319-25958-1_4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,Aff-wild2: Extending the aff-wild database for affect recognition,"['D Kollias', 'S Zafeiriou']",2018,167,Affective Faces Database,"CNN, deep learning, neural network","the paper is that by training deep neural networks on the Aff- -art emotion recognition  performance on the other database,  of Aff-Wild2 database starts with the detection of faces [1] in",No DOI,arXiv preprint arXiv:1811.07770,https://arxiv.org/abs/1811.07770,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,Aff-wild: valence and arousal'In-the-Wild'challenge,"['S Zafeiriou', 'D Kollias', 'MA Nicolaou']",2017,373,Expression in-the-Wild,"deep learning, machine learning, neural network",”inthe-wild”. For a recent survey on facial behaviour analysis in-the-wild with an emphasis on  deep learning  come from movies and the annotation is limited to the universal expressions.,No DOI,Proceedings of the …,https://ieeexplore.ieee.org/document/8014982/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33,"Affect analysis in-the-wild: Valence-arousal, expressions, action units and a unified framework","['D Kollias', 'S Zafeiriou']",2021,206,Expression in-the-Wild,"classification, deep learning","databases and ii) design and training of novel deep neural architectures  in-the-wild databases,  ie, Aff-Wild and Aff-Wild2 and presents the design of two classes of deep neural networks",No DOI,arXiv preprint arXiv:2103.15792,https://arxiv.org/abs/2103.15792,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34,Affectiva-mit facial expression dataset (am-fed): Naturalistic and spontaneous facial expressions collected,"['D McDuff', 'R Kaliouby', 'T Senechal', 'M Amr']",2013,314,"Acted Facial Expressions In The Wild, Affective Faces Database",classifier,"Computer classification of facial expressions requires large amounts of data and this data  needs to  If consent is granted, the commercial is played in the browser whilst simultaneously",No DOI,Proceedings of the …,https://ieeexplore.ieee.org/document/6595975,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35,Affective image classification using features inspired by psychology and art theory,"['J Machajdik', 'A Hanbury']",2010,1010,Affective Faces Database,classification,"as features, and the expected affective state in which the user is  that are specific to the task  of affective image classification.  face detection algorithm by Viola and Jones [28] to find faces",No DOI,Proceedings of the 18th ACM international …,https://dl.acm.org/doi/10.1145/1873951.1873965,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,"Affectnet: A database for facial expression, valence, and arousal computing in the wild","['A Mollahosseini', 'B Hasani']",2017,1965,"Acted Facial Expressions In The Wild, Affective Faces Database, Expression in-the-Wild, Static Facial Expression in the Wild","CNN, FER, classification, classifier, deep learning, facial expression recognition, machine learning, neural network",our deep neural network baselines can perform better than conventional machine learning   [18] released Acted Facial Expressions in the Wild (AFEW) from 54 movies by a recom,No DOI,IEEE Transactions on …,https://arxiv.org/abs/1708.03985,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,American-Japanese cultural differences in intensity ratings of facial expressions of emotion,"['D Matsumoto', 'P Ekman']",1989,701,Japanese Female Facial Expression,classification,Japanese observers viewed facial expressions of emotion portrayed by both Caucasian and  Japanese  The percentage of observers giving the target emotion scale the highest rating,No DOI,Motivation and emotion,https://link.springer.com/article/10.1007/BF00992959,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38,American-Japanese cultural differences in the recognition of universal facial expressions,['D Matsumoto'],1992,468,Japanese Female Facial Expression,neural network,Although the universal recognition of facial expressions of  Japanese judges viewed  expressions of six universal emotions posed by both Caucasian and Japanese males and females.,No DOI,Journal of cross-cultural psychology,https://journals.sagepub.com/doi/10.1177/0022022192231005,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,Appearance-based gender classification with Gaussian processes,"['HC Kim', 'D Kim', 'Z Ghahramani', 'SY Bang']",2006,102,Toronto Face Database,classification,"In Section 3, we introduce Gaussian process classification. In  classification. In Section 5,  we show experimental results on the PF01 database and compared with other classification",No DOI,Pattern Recognition Letters,https://www.sciencedirect.com/science/article/pii/S0167865505002801,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,Attention mechanism-based CNN for facial expression recognition,"['J Li', 'K Jin', 'D Zhou', 'N Kubota', 'Z Ju']",2020,284,Japanese Female Facial Expression,CNN,"The JAFFE dataset was collected from 10 Japanese females in a laboratory condition and  includes 213 images of posed expressions. For each subject, there are three or four images",No DOI,Neurocomputing,https://www.sciencedirect.com/science/article/pii/S0925231220309838,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,Au-aware deep networks for facial expression recognition,"['M Liu', 'S Li', 'S Shan', 'X Chen']",2013,318,MMI Facial Expression,facial expression recognition,"controlled expression database CK+ [21], MMI [22], and a wild  facial expression recognition.  All comparisons are performed on three datasets: CK+ [21], MMI [22], and a wild expression",No DOI,… face and gesture recognition (FG),https://ieeexplore.ieee.org/document/6553734,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42,Au-inspired deep networks for facial expression feature learning,"['M Liu', 'S Li', 'S Shan', 'X Chen']",2015,265,"Acted Facial Expressions In The Wild, MMI Facial Expression","deep learning, neural network","Most existing technologies for facial expression recognition utilize off-the-shelf feature  extraction methods for classification. In this paper, aiming at learning better features specific for",No DOI,Neurocomputing,https://www.sciencedirect.com/science/article/pii/S0925231215001605,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
43,Automatic coding of facial expressions displayed during posed and genuine pain,"['GC Littlewort', 'MS Bartlett', 'K Lee']",2009,292,Toronto Face Database,machine learning,"a machine learning approach in a two-stage system. In the first stage, a set of 20 detectors  for facial actions from the Facial Action  Toronto. Mean accuracy of naïve human subjects for",No DOI,Image and Vision Computing,https://www.sciencedirect.com/science/article/pii/S0262885609000055,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44,Automatic facial expression recognition based on a deep convolutional-neural-network structure,"['K Shan', 'J Guo', 'W You', 'D Lu']",2017,159,Japanese Female Facial Expression,"CNN, classification, deep learning, facial expression recognition, machine learning, neural network","in speech recognition, collaborative filtering, handwriting  We employ two standard facial  expression databases for the  10 Japanese women, while CK+ covers the expression images",No DOI,2017 IEEE 15th …,https://ieeexplore.ieee.org/abstract/document/7965717/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45,Automatic facial expression recognition system using deep network-based data fusion,"['A Majumder', 'L Behera']",2016,192,MMI Facial Expression,"classification, classifier, deep learning, facial expression recognition, neural network","High level emotion recognition has been recently reported in the literature, such as  We  observed an average recognition accuracy of 89.3% for MMI DB and 92.54% for CK+ DB. The",No DOI,IEEE transactions on …,https://ieeexplore.ieee.org/document/7747479,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,Automatic facial expression recognition using DCNN,"['V Mayya', 'RM Pai', 'MMM Pai']",2016,136,Facial Expression Recognition 2013,facial expression recognition,". CNN is extensively used for facial feature extraction for determining age9, gender10 etc.   of facial expressions recognition for the proposed method for six universal expressions is 97%.",No DOI,Procedia Computer Science,https://www.sciencedirect.com/science/article/pii/S1877050916314752,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
47,Automatic facial expression recognition using features of salient facial patches,"['SL Happy', 'A Routray']",2014,686,"Affective Faces Database, Facial Expression Recognition 2013",facial expression recognition,of the salient patches on face images. This paper proposes a novel framework for expression  recognition by using appearance features of selected facial patches. A few prominent,No DOI,IEEE transactions on Affective …,https://ieeexplore.ieee.org/document/6998925/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
48,Automatic recognition of student engagement using deep learning and facial expression,"['O Mohamad Nezami', 'M Dras', 'L Hamey']",2020,134,Facial Expression Recognition 2013,facial expression recognition,"use the facial expression recognition 2013 (FER-2013) dataset [ 25,109 for training our  facial expression recognition model. To  evaluation of our facial expression recognition model.",No DOI,… on machine learning …,https://link.springer.com/chapter/10.1007/978-3-030-46133-1_17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
49,Automaticity and the amygdala: Nonconscious responses to emotional faces,['A Öhman'],2002,540,Karolinska Directed Emotional Faces,neural network,"when exposed to emotionally expressive faces. Attention is  for responding to negative  emotional faces, and particularly to  emotional faces, but may instead respond to faces because",No DOI,Current directions in psychological science,https://journals.sagepub.com/doi/abs/10.1111/1467-8721.00169,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50,BAUM-1: A spontaneous audio-visual face database of affective and mental states,"['S Zhalehpour', 'O Onder', 'Z Akhtar']",2016,224,Affective Faces Database,"FER, classification, classifier",Most databases available today are acted or do not contain audio data. We present a  -visual  affective face database of affective and mental states. The video clips in the database are,No DOI,… on Affective Computing,https://ieeexplore.ieee.org/document/7451244,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,Beyond emotion archetypes: Databases for emotion modelling using neural networks,"['R Cowie', 'E Douglas-Cowie', 'C Cox']",2005,179,Affective Faces Database,neural network,"such a database ideally cover quality, emotional content, emotion-related  database of  emotional faces remains for many people the example of what they expect an emotion database",No DOI,Neural networks,https://www.sciencedirect.com/science/article/pii/S0893608005000353,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
52,Bilinear models for 3-D face and facial expression recognition,"['I Mpiperis', 'S Malassiotis']",2008,230,Binghamton University 3D Facial Expression,"facial expression recognition, machine learning, neural network",of bilinear models on the Binghamton University 3-D Facial Expression (BU-3DFE)  ’s work  [1] on facial expression recognition and our previous work [2] on face recognition. BU-3DFE is,No DOI,IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/4539275/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
53,Blended emotion in-the-wild: Multi-label facial expression recognition using crowdsourced annotations and deep locality feature learning,"['S Li', 'W Deng']",2019,127,"Expression in-the-Wild, Static Facial Expression in the Wild","CNN, classification, classifier, deep learning, facial expression recognition, machine learning","multi-label facial expression database, RAF-ML, along with a new deep learning algorithm,  to  To address this limitation, we propose a novel deep learning model, called DBM-CNN, to",No DOI,International Journal of Computer Vision,https://link.springer.com/article/10.1007/s11263-018-1131-1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
54,Categorization and evaluation of emotional faces in psychopathic women,"['H Eisenbarth', 'GW Alpers', 'D Segrè', 'A Calogero']",2008,117,Karolinska Directed Emotional Faces,classification,"detailed picture of the emotion decoding deficit through the dimensional rating. Furthermore,  the paradigm combines a quite obvious question on emotion in the valence dimension and",No DOI,Psychiatry …,https://www.sciencedirect.com/science/article/pii/S0165178107003265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
